NAME,Total,Male (total):,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female (total):,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over
1,2760.0,1289.0,32.0,159.0,67.0,27.0,20.0,0.0,9.0,90.0,39.0,76.0,172.0,160.0,69.0,88.0,125.0,10.0,52.0,16.0,20.0,35.0,23.0,0.0,0.0,1471.0,78.0,204.0,158.0,115.0,25.0,0.0,0.0,51.0,86.0,129.0,123.0,58.0,65.0,22.0,101.0,25.0,72.0,0.0,34.0,68.0,6.0,36.0,15.0
2.01,3097.0,1569.0,5.0,166.0,272.0,27.0,183.0,34.0,0.0,104.0,81.0,34.0,24.0,83.0,44.0,46.0,209.0,18.0,40.0,19.0,31.0,135.0,14.0,0.0,0.0,1528.0,156.0,50.0,292.0,20.0,17.0,0.0,0.0,35.0,10.0,63.0,8.0,235.0,91.0,16.0,249.0,0.0,55.0,0.0,104.0,101.0,4.0,0.0,22.0
2.02,4030.0,2075.0,95.0,17.0,322.0,206.0,66.0,17.0,58.0,129.0,232.0,87.0,100.0,81.0,111.0,287.0,59.0,56.0,37.0,11.0,19.0,48.0,8.0,8.0,21.0,1955.0,220.0,52.0,323.0,140.0,156.0,0.0,15.0,91.0,39.0,78.0,146.0,115.0,168.0,101.0,59.0,0.0,41.0,8.0,54.0,41.0,35.0,39.0,34.0
3.01,4649.0,2478.0,362.0,61.0,225.0,95.0,188.0,22.0,27.0,67.0,63.0,331.0,128.0,54.0,142.0,216.0,145.0,10.0,59.0,67.0,61.0,49.0,62.0,14.0,30.0,2171.0,146.0,222.0,57.0,113.0,42.0,56.0,12.0,127.0,207.0,109.0,171.0,73.0,116.0,131.0,98.0,41.0,105.0,13.0,22.0,144.0,73.0,25.0,68.0
3.02,6582.0,3132.0,232.0,183.0,199.0,0.0,101.0,20.0,30.0,119.0,212.0,128.0,281.0,117.0,138.0,118.0,130.0,83.0,19.0,32.0,70.0,292.0,264.0,194.0,170.0,3450.0,186.0,147.0,107.0,45.0,83.0,5.0,99.0,83.0,107.0,124.0,72.0,213.0,173.0,77.0,115.0,54.0,97.0,49.0,14.0,446.0,302.0,310.0,542.0
4,4873.0,2418.0,105.0,100.0,383.0,76.0,198.0,11.0,3.0,162.0,131.0,112.0,157.0,100.0,155.0,220.0,73.0,64.0,30.0,67.0,46.0,102.0,73.0,22.0,28.0,2455.0,162.0,85.0,339.0,134.0,105.0,22.0,28.0,48.0,89.0,155.0,102.0,118.0,196.0,135.0,52.0,33.0,126.0,88.0,69.0,90.0,97.0,65.0,117.0
5.01,6962.0,3123.0,248.0,119.0,272.0,152.0,129.0,68.0,76.0,99.0,363.0,299.0,84.0,201.0,217.0,263.0,208.0,9.0,78.0,76.0,82.0,45.0,25.0,10.0,0.0,3839.0,194.0,337.0,376.0,195.0,179.0,0.0,52.0,324.0,399.0,255.0,27.0,503.0,185.0,159.0,297.0,46.0,30.0,30.0,53.0,102.0,17.0,20.0,59.0
5.02,5137.0,2406.0,103.0,247.0,148.0,91.0,55.0,0.0,29.0,143.0,134.0,263.0,194.0,193.0,128.0,145.0,153.0,61.0,59.0,17.0,63.0,54.0,59.0,58.0,9.0,2731.0,157.0,109.0,202.0,111.0,26.0,155.0,59.0,89.0,230.0,95.0,252.0,216.0,80.0,236.0,166.0,57.0,56.0,48.0,42.0,120.0,39.0,116.0,70.0
6.01,5090.0,2508.0,285.0,177.0,164.0,151.0,51.0,21.0,9.0,79.0,119.0,120.0,221.0,159.0,96.0,180.0,145.0,110.0,76.0,41.0,82.0,57.0,148.0,0.0,17.0,2582.0,117.0,237.0,213.0,100.0,92.0,54.0,54.0,88.0,134.0,196.0,218.0,125.0,123.0,152.0,156.0,144.0,47.0,20.0,72.0,86.0,98.0,15.0,41.0
6.02,5900.0,2786.0,187.0,384.0,213.0,174.0,121.0,65.0,0.0,17.0,218.0,125.0,306.0,76.0,142.0,98.0,247.0,42.0,77.0,76.0,44.0,65.0,25.0,55.0,29.0,3114.0,115.0,201.0,402.0,449.0,104.0,0.0,133.0,96.0,163.0,136.0,390.0,167.0,190.0,110.0,145.0,15.0,151.0,24.0,46.0,22.0,20.0,0.0,35.0
7.01,3965.0,1841.0,255.0,121.0,45.0,44.0,62.0,12.0,47.0,124.0,125.0,90.0,107.0,161.0,125.0,108.0,69.0,55.0,49.0,42.0,89.0,43.0,47.0,21.0,0.0,2124.0,90.0,211.0,195.0,142.0,0.0,0.0,0.0,155.0,67.0,163.0,135.0,101.0,135.0,99.0,119.0,70.0,183.0,99.0,49.0,29.0,37.0,20.0,25.0
7.02,2955.0,1459.0,104.0,204.0,105.0,192.0,12.0,9.0,6.0,29.0,71.0,46.0,123.0,51.0,41.0,63.0,63.0,39.0,43.0,28.0,107.0,44.0,70.0,0.0,9.0,1496.0,239.0,66.0,200.0,30.0,29.0,42.0,0.0,34.0,115.0,124.0,143.0,72.0,29.0,36.0,91.0,29.0,18.0,11.0,35.0,57.0,80.0,10.0,6.0
8.01,3902.0,1960.0,244.0,290.0,166.0,90.0,48.0,31.0,25.0,106.0,78.0,54.0,142.0,100.0,74.0,125.0,62.0,6.0,57.0,46.0,56.0,49.0,95.0,6.0,10.0,1942.0,179.0,164.0,313.0,42.0,35.0,24.0,14.0,75.0,120.0,55.0,91.0,123.0,101.0,142.0,73.0,24.0,78.0,60.0,41.0,52.0,79.0,26.0,31.0
8.03,4129.0,2063.0,338.0,80.0,314.0,99.0,78.0,46.0,8.0,51.0,107.0,99.0,175.0,80.0,62.0,135.0,109.0,25.0,70.0,55.0,35.0,69.0,11.0,0.0,17.0,2066.0,153.0,152.0,168.0,81.0,49.0,6.0,7.0,65.0,247.0,112.0,64.0,72.0,112.0,147.0,130.0,22.0,53.0,282.0,24.0,44.0,54.0,8.0,14.0
8.04,5150.0,2717.0,263.0,140.0,207.0,170.0,91.0,58.0,42.0,183.0,213.0,84.0,257.0,171.0,53.0,157.0,273.0,24.0,102.0,75.0,27.0,46.0,69.0,0.0,12.0,2433.0,177.0,129.0,79.0,155.0,46.0,9.0,11.0,201.0,82.0,131.0,112.0,228.0,161.0,125.0,166.0,12.0,157.0,64.0,59.0,134.0,8.0,52.0,135.0
9.01,4959.0,2588.0,292.0,243.0,336.0,146.0,86.0,10.0,82.0,116.0,146.0,164.0,155.0,102.0,105.0,164.0,144.0,36.0,69.0,34.0,52.0,41.0,31.0,21.0,13.0,2371.0,247.0,313.0,296.0,178.0,8.0,19.0,27.0,54.0,206.0,163.0,61.0,209.0,43.0,149.0,180.0,20.0,45.0,28.0,51.0,12.0,33.0,27.0,2.0
9.02,3111.0,1526.0,203.0,144.0,112.0,52.0,132.0,57.0,46.0,42.0,179.0,100.0,77.0,14.0,24.0,101.0,110.0,5.0,26.0,0.0,20.0,38.0,0.0,14.0,30.0,1585.0,243.0,228.0,105.0,123.0,12.0,16.0,31.0,96.0,183.0,71.0,71.0,34.0,45.0,130.0,40.0,14.0,38.0,24.0,15.0,34.0,10.0,18.0,4.0
