NAME,Median Income:,Total:,"Less than $10,000: ","$10,000 to $14,999: ","$15,000 to $19,999: ","$20,000 to $24,999: ","$25,000 to $29,999: ","$30,000 to $34,999: ","$35,000 to $39,999: ","$40,000 to $44,999: ","$45,000 to $49,999: ","$50,000 to $59,999: ","$60,000 to $74,999: ","$75,000 to $99,999: ","$100,000 to $124,999: ","$125,000 to $149,999: ","$150,000 to $199,999: ","$200,000 or more: "
1,"$60,608",1044,43,76,49,38,71,44,18,23,41,110,173,130,79,48,61,40
2.01,"$41,557",1060,113,0,98,0,164,19,103,62,87,78,40,145,97,10,27,17
2.02,"$56,667",1276,123,86,40,22,46,32,56,86,49,160,156,156,101,84,46,33
3.01,"$73,938",1327,46,0,20,0,40,41,122,18,78,108,199,262,74,129,94,96
3.02,"$47,740",2834,112,246,168,147,113,291,176,123,107,277,520,156,180,74,32,112
4,"$79,396",1560,12,41,16,62,59,50,52,82,81,107,93,278,221,88,176,142
5.01,"$70,993",2071,52,34,69,91,102,34,144,24,0,190,373,406,222,177,105,48
5.02,"$61,507",1797,106,0,42,122,46,78,186,170,51,77,83,213,285,124,156,58
6.01,"$119,219",1551,14,11,10,42,0,4,48,12,25,115,69,162,286,215,283,255
6.02,"$102,328",1612,10,27,23,23,0,58,59,8,132,28,114,297,229,323,140,141
7.01,"$80,565",1304,64,4,23,74,26,9,30,57,44,162,102,180,151,55,161,162
7.02,"$61,016",1022,31,29,71,66,9,8,45,47,51,141,132,129,67,131,23,42
8.01,"$82,961",1036,68,39,9,19,15,82,20,4,9,61,127,182,150,50,44,157
8.03,"$95,165",1191,63,23,0,0,19,17,39,75,26,81,141,171,200,90,53,193
8.04,"$98,906",1653,0,38,82,20,42,22,86,88,60,58,132,216,253,131,156,269
9.01,"$95,250",1219,18,20,13,9,80,3,55,42,20,85,66,226,157,132,144,149
9.02,"$106,818",652,19,0,4,9,5,2,36,0,7,26,92,103,71,77,107,94
10,"$87,206",1694,76,41,27,15,21,34,69,73,38,160,107,301,304,274,54,100
11,"$104,357",1774,47,34,15,27,28,47,14,56,28,131,106,278,151,507,164,141
12,"$56,020",1945,32,116,94,205,20,54,200,72,43,180,235,305,138,108,32,111
13.01,"$78,333",1096,0,20,20,29,56,37,37,27,26,56,181,224,97,51,110,125
13.02,"$84,357",1018,54,0,0,0,18,15,84,23,40,85,89,203,124,86,119,78
14.01,"$88,558",1580,19,0,44,7,63,60,99,90,14,142,136,234,239,103,231,99
14.02,"$75,357",1392,112,60,45,38,18,45,13,45,53,164,98,327,91,121,124,38
15.01,"$64,167",1924,199,32,10,26,61,83,143,110,52,168,275,221,251,158,80,55
15.02,"$86,042",2617,0,13,140,74,201,86,98,74,76,180,145,369,362,234,379,186
16.01,"$44,231",2088,61,143,215,137,279,124,33,64,168,218,282,76,64,126,20,78
16.02,"$81,339",1772,29,43,124,83,36,135,60,55,85,115,98,236,250,257,105,61
17.01,"$54,861",1290,132,20,21,127,7,65,35,51,105,111,112,91,140,61,85,127
17.02,"$46,438",2245,167,40,75,95,348,71,209,83,71,371,118,214,123,109,40,111
18.01,"$73,563",1779,63,8,38,43,174,23,82,180,37,131,122,276,187,191,96,128
18.02,"$81,303",2700,23,31,42,69,96,56,47,188,173,186,309,493,350,221,309,107
19.01,"$52,094",2297,203,90,139,165,57,17,236,73,68,300,122,342,241,67,80,97
19.02,"$74,835",1753,33,22,67,46,197,15,84,62,11,74,277,314,191,105,110,145
20.01,"$68,843",1352,33,0,79,150,29,9,110,51,44,122,87,288,77,39,14,220
20.02,"$74,375",1302,76,7,10,61,6,46,48,72,45,121,161,187,117,137,150,58
21.01,"$86,146",1373,15,10,69,88,33,55,38,46,29,55,146,270,266,72,121,60
21.02,"$41,609",1828,202,128,20,189,192,65,35,129,181,176,158,130,59,118,19,27
22.01,"$32,889",1661,383,73,161,90,96,79,147,13,58,138,94,231,66,13,0,19
22.02,"$57,827",1501,164,59,9,42,12,19,110,61,87,244,106,373,159,24,32,0
23,"$45,581",1038,91,120,79,71,21,90,13,11,248,81,40,73,74,0,26,0
24,"$64,156",1856,13,0,94,121,38,70,47,190,58,229,319,331,175,122,30,19
26,"$37,355",1632,201,219,104,39,64,124,69,190,78,125,135,137,84,23,27,13
27,"$44,980",647,44,47,47,16,42,16,16,96,5,74,47,64,111,7,0,15
29,"$41,264",2397,275,114,67,41,230,160,267,101,58,185,143,257,138,24,164,173
