NAME,CensusReporter_Link
1,https://censusreporter.org/profiles/14000US18039000100-census-tract-1-elkhart-in/
2.01,https://censusreporter.org/profiles/14000US18039000201-census-tract-201-elkhart-in/
2.02,https://censusreporter.org/profiles/14000US18039000202-census-tract-202-elkhart-in/
3.01,https://censusreporter.org/profiles/14000US18039000301-census-tract-301-elkhart-in/
3.02,https://censusreporter.org/profiles/14000US18039000302-census-tract-302-elkhart-in/
4,https://censusreporter.org/profiles/14000US18039000400-census-tract-4-elkhart-in/
5.01,https://censusreporter.org/profiles/14000US18039000501-census-tract-501-elkhart-in/
5.02,https://censusreporter.org/profiles/14000US18039000502-census-tract-502-elkhart-in/
6.01,https://censusreporter.org/profiles/14000US18039000601-census-tract-601-elkhart-in/
6.02,https://censusreporter.org/profiles/14000US18039000602-census-tract-602-elkhart-in/
7.01,https://censusreporter.org/profiles/14000US18039000701-census-tract-701-elkhart-in/
7.02,https://censusreporter.org/profiles/14000US18039000702-census-tract-702-elkhart-in/
8.01,https://censusreporter.org/profiles/14000US18039000801-census-tract-801-elkhart-in/
8.03,https://censusreporter.org/profiles/14000US18039000803-census-tract-803-elkhart-in/
8.04,https://censusreporter.org/profiles/14000US18039000804-census-tract-804-elkhart-in/
9.01,https://censusreporter.org/profiles/14000US18039000901-census-tract-901-elkhart-in/
9.02,https://censusreporter.org/profiles/14000US18039000902-census-tract-902-elkhart-in/
10,https://censusreporter.org/profiles/14000US18039001000-census-tract-10-elkhart-in/
11,https://censusreporter.org/profiles/14000US18039001100-census-tract-11-elkhart-in/
12,https://censusreporter.org/profiles/14000US18039001200-census-tract-12-elkhart-in/
13.01,https://censusreporter.org/profiles/14000US18039001301-census-tract-1301-elkhart-in/
13.02,https://censusreporter.org/profiles/14000US18039001302-census-tract-1302-elkhart-in/
14.01,https://censusreporter.org/profiles/14000US18039001401-census-tract-1401-elkhart-in/
14.02,https://censusreporter.org/profiles/14000US18039001402-census-tract-1402-elkhart-in/
15.01,https://censusreporter.org/profiles/14000US18039001501-census-tract-1501-elkhart-in/
15.02,https://censusreporter.org/profiles/14000US18039001502-census-tract-1502-elkhart-in/
16.01,https://censusreporter.org/profiles/14000US18039001601-census-tract-1601-elkhart-in/
16.02,https://censusreporter.org/profiles/14000US18039001602-census-tract-1602-elkhart-in/
17.01,https://censusreporter.org/profiles/14000US18039001701-census-tract-1701-elkhart-in/
17.02,https://censusreporter.org/profiles/14000US18039001702-census-tract-1702-elkhart-in/
18.01,https://censusreporter.org/profiles/14000US18039001801-census-tract-1801-elkhart-in/
18.02,https://censusreporter.org/profiles/14000US18039001802-census-tract-1802-elkhart-in/
19.01,https://censusreporter.org/profiles/14000US18039001901-census-tract-1901-elkhart-in/
19.02,https://censusreporter.org/profiles/14000US18039001902-census-tract-1902-elkhart-in/
20.01,https://censusreporter.org/profiles/14000US18039002001-census-tract-2001-elkhart-in/
20.02,https://censusreporter.org/profiles/14000US18039002002-census-tract-2002-elkhart-in/
21.01,https://censusreporter.org/profiles/14000US18039002101-census-tract-2101-elkhart-in/
21.02,https://censusreporter.org/profiles/14000US18039002102-census-tract-2102-elkhart-in/
22.01,https://censusreporter.org/profiles/14000US18039002201-census-tract-2201-elkhart-in/
22.02,https://censusreporter.org/profiles/14000US18039002202-census-tract-2202-elkhart-in/
23,https://censusreporter.org/profiles/14000US18039002300-census-tract-23-elkhart-in/
24,https://censusreporter.org/profiles/14000US18039002400-census-tract-24-elkhart-in/
26,https://censusreporter.org/profiles/14000US18039002600-census-tract-26-elkhart-in/
27,https://censusreporter.org/profiles/14000US18039002700-census-tract-27-elkhart-in/
29,https://censusreporter.org/profiles/14000US18039002900-census-tract-29-elkhart-in/
