NAME,Income in the past 12 months below poverty level: ,Male (total): ,Male: Under 5 years,Male: 5 years,Male: 6 to 11 years,Male: 12 to 14 years,Male: 15 years,Male: 16 to 17 years,Male: 18 to 24 years,Male: 25 to 34 years,Male: 35 to 44 years,Male: 45 to 54 years,Male: 55 to 64 years,Male: 65 to 74 years,Male: 75 years and over,Female (total):,Female: Under 5 years,Female: 5 years,Female: 6 to 11 years,Female: 12 to 14 years,Female: 15 years,Female: 16 to 17 years,Female: 18 to 24 years,Female: 25 to 34 years,Female: 35 to 44 years,Female: 45 to 54 years,Female: 55 to 64 years,Female: 65 to 74 years,Female: 75 years and over
201.01,14.73%,7.22%,3.11%,0.00%,2.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.13%,0.17%,0.40%,0.00%,7.51%,0.00%,0.00%,1.95%,0.00%,0.00%,0.75%,0.34%,1.45%,1.07%,0.67%,1.28%,0.00%,0.00%
201.02,3.40%,0.75%,0.22%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,2.65%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,0.28%,0.67%,0.00%,0.25%,0.70%,0.25%
202.01,13.64%,6.76%,0.95%,0.00%,0.17%,0.67%,0.95%,0.37%,0.50%,0.10%,0.15%,1.27%,0.10%,1.17%,0.35%,6.88%,1.05%,0.00%,0.00%,0.00%,0.00%,0.97%,0.17%,0.55%,1.35%,0.95%,0.67%,0.65%,0.52%
202.02,5.34%,3.24%,0.00%,0.00%,0.00%,0.44%,0.47%,0.00%,0.00%,0.00%,0.00%,0.47%,0.47%,0.63%,0.75%,2.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.63%,1.46%,0.00%,0.00%
203.01,10.36%,5.29%,0.57%,0.67%,0.67%,0.00%,0.00%,0.00%,0.38%,0.00%,0.65%,0.62%,0.00%,0.49%,1.24%,5.07%,0.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.67%,0.00%,0.00%,1.83%,1.70%
203.02,15.34%,4.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.92%,0.37%,0.00%,0.22%,0.40%,0.04%,2.09%,11.30%,0.18%,0.00%,0.00%,0.00%,0.00%,0.55%,3.34%,0.18%,0.92%,1.83%,1.03%,1.36%,1.91%
204,7.98%,0.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.42%,0.00%,0.52%,0.00%,7.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.55%,0.76%,0.49%,0.55%,1.03%,0.21%,2.46%
205,20.32%,11.03%,0.00%,0.15%,0.15%,1.97%,0.00%,0.00%,0.35%,4.64%,2.26%,0.52%,0.46%,0.26%,0.26%,9.29%,0.00%,0.00%,0.55%,0.29%,0.00%,1.65%,0.26%,0.90%,1.86%,2.12%,0.26%,0.84%,0.55%
206,16.24%,6.50%,1.44%,0.00%,0.72%,0.83%,0.59%,0.00%,0.44%,0.04%,1.44%,0.47%,0.38%,0.00%,0.15%,9.74%,0.00%,0.00%,0.63%,1.36%,0.32%,1.25%,0.97%,0.64%,1.80%,0.40%,0.89%,0.42%,1.06%
207.01,3.86%,0.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.69%,0.00%,0.00%,0.26%,0.00%,2.91%,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%,1.38%,0.35%,0.00%,0.00%,1.01%,0.00%,0.00%
207.02,7.65%,3.34%,0.21%,0.00%,0.43%,0.39%,0.00%,0.28%,0.32%,0.43%,0.46%,0.00%,0.46%,0.21%,0.14%,4.30%,0.14%,0.00%,0.85%,0.11%,0.00%,0.07%,0.75%,0.14%,0.75%,0.43%,0.50%,0.46%,0.11%
208,8.03%,3.34%,0.35%,0.22%,0.43%,0.00%,0.00%,0.61%,0.06%,0.46%,0.45%,0.07%,0.65%,0.04%,0.00%,4.69%,0.20%,0.00%,0.52%,0.61%,0.00%,0.32%,0.00%,0.71%,0.41%,0.78%,0.32%,0.13%,0.71%
