NAME,Total,Male (total):,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female (total):,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over
201.01,5283.0,2590.0,206.0,284.0,119.0,14.0,58.0,76.0,3.0,19.0,219.0,270.0,201.0,108.0,116.0,159.0,112.0,71.0,154.0,64.0,77.0,104.0,89.0,34.0,33.0,2693.0,27.0,174.0,283.0,65.0,16.0,25.0,37.0,120.0,180.0,72.0,156.0,208.0,91.0,150.0,376.0,2.0,152.0,104.0,70.0,70.0,97.0,71.0,147.0
201.02,3602.0,1754.0,166.0,269.0,93.0,104.0,29.0,10.0,0.0,44.0,82.0,74.0,183.0,64.0,47.0,99.0,121.0,81.0,56.0,53.0,49.0,54.0,16.0,25.0,35.0,1848.0,218.0,158.0,175.0,116.0,51.0,0.0,21.0,0.0,78.0,149.0,149.0,70.0,68.0,102.0,119.0,31.0,51.0,62.0,63.0,77.0,32.0,15.0,43.0
202.01,4033.0,2102.0,131.0,161.0,205.0,97.0,36.0,31.0,0.0,64.0,195.0,139.0,83.0,95.0,131.0,148.0,64.0,94.0,71.0,48.0,47.0,199.0,38.0,10.0,15.0,1931.0,192.0,68.0,92.0,81.0,12.0,0.0,19.0,45.0,226.0,118.0,107.0,116.0,85.0,205.0,47.0,98.0,27.0,50.0,73.0,129.0,88.0,16.0,37.0
202.02,2527.0,1370.0,59.0,66.0,60.0,27.0,27.0,25.0,0.0,62.0,46.0,72.0,45.0,64.0,108.0,105.0,126.0,35.0,154.0,53.0,73.0,64.0,42.0,35.0,22.0,1157.0,61.0,108.0,17.0,41.0,33.0,0.0,10.0,17.0,41.0,74.0,51.0,42.0,37.0,67.0,111.0,87.0,104.0,90.0,0.0,67.0,37.0,24.0,38.0
203.01,3839.0,1941.0,122.0,146.0,52.0,78.0,36.0,11.0,0.0,41.0,132.0,106.0,129.0,77.0,89.0,141.0,199.0,125.0,25.0,57.0,43.0,127.0,86.0,37.0,82.0,1898.0,168.0,166.0,75.0,47.0,16.0,28.0,13.0,116.0,65.0,136.0,86.0,39.0,83.0,142.0,154.0,23.0,64.0,70.0,95.0,117.0,67.0,80.0,48.0
203.02,2783.0,1356.0,35.0,66.0,96.0,29.0,14.0,5.0,14.0,23.0,88.0,101.0,28.0,102.0,73.0,71.0,94.0,21.0,65.0,103.0,70.0,43.0,125.0,32.0,58.0,1427.0,80.0,64.0,22.0,48.0,10.0,13.0,56.0,35.0,25.0,48.0,35.0,69.0,64.0,108.0,100.0,49.0,82.0,76.0,167.0,61.0,80.0,30.0,105.0
204,3300.0,1429.0,49.0,106.0,99.0,85.0,30.0,55.0,0.0,67.0,86.0,44.0,109.0,62.0,176.0,27.0,88.0,12.0,108.0,38.0,55.0,67.0,23.0,27.0,16.0,1871.0,57.0,76.0,125.0,171.0,146.0,62.0,0.0,0.0,74.0,103.0,99.0,50.0,138.0,116.0,151.0,21.0,65.0,20.0,74.0,103.0,48.0,90.0,82.0
205,3701.0,1994.0,134.0,105.0,72.0,104.0,45.0,10.0,48.0,150.0,338.0,40.0,131.0,127.0,115.0,58.0,136.0,213.0,31.0,22.0,18.0,8.0,0.0,53.0,36.0,1707.0,100.0,42.0,110.0,98.0,56.0,111.0,72.0,131.0,146.0,81.0,43.0,125.0,71.0,177.0,35.0,24.0,32.0,20.0,11.0,56.0,50.0,38.0,78.0
206,5392.0,2868.0,392.0,166.0,245.0,251.0,82.0,64.0,1.0,39.0,169.0,256.0,142.0,160.0,186.0,143.0,154.0,24.0,74.0,76.0,28.0,128.0,29.0,31.0,28.0,2524.0,53.0,207.0,210.0,159.0,35.0,12.0,12.0,51.0,131.0,114.0,283.0,137.0,97.0,94.0,173.0,62.0,117.0,117.0,83.0,101.0,80.0,81.0,115.0
207.01,3469.0,1762.0,124.0,54.0,138.0,70.0,10.0,69.0,0.0,54.0,33.0,86.0,74.0,91.0,231.0,86.0,118.0,92.0,55.0,67.0,69.0,70.0,89.0,24.0,58.0,1707.0,63.0,122.0,78.0,61.0,123.0,0.0,41.0,17.0,65.0,53.0,90.0,122.0,332.0,12.0,97.0,9.0,83.0,20.0,33.0,100.0,89.0,36.0,61.0
