NAME,Median Income: ,"Less than $10,000: ","$10,000 to $14,999: ","$15,000 to $19,999: ","$20,000 to $24,999: ","$25,000 to $29,999: ","$30,000 to $34,999: ","$35,000 to $39,999: ","$40,000 to $44,999: ","$45,000 to $49,999: ","$50,000 to $59,999: ","$60,000 to $74,999: ","$75,000 to $99,999: ","$100,000 to $124,999: ","$125,000 to $149,999: ","$150,000 to $199,999: ","$200,000 or more: "
201.01,55648.0,78.0,22.0,229.0,35.0,55.0,36.0,281.0,217.0,15.0,155.0,160.0,347.0,293.0,90.0,80.0,89.0
201.02,93478.0,17.0,18.0,32.0,17.0,6.0,0.0,39.0,13.0,28.0,82.0,159.0,148.0,127.0,77.0,233.0,50.0
202.01,68142.0,15.0,48.0,5.0,85.0,58.0,74.0,122.0,93.0,79.0,53.0,162.0,233.0,148.0,170.0,68.0,36.0
202.02,73138.0,28.0,38.0,50.0,9.0,9.0,56.0,17.0,30.0,115.0,87.0,138.0,122.0,187.0,94.0,37.0,64.0
203.01,84760.0,69.0,12.0,44.0,43.0,26.0,44.0,10.0,29.0,49.0,35.0,221.0,228.0,159.0,101.0,158.0,144.0
203.02,60000.0,124.0,67.0,16.0,48.0,43.0,42.0,83.0,46.0,94.0,57.0,118.0,180.0,82.0,78.0,70.0,92.0
204,60582.0,168.0,17.0,45.0,76.0,79.0,38.0,11.0,67.0,27.0,164.0,173.0,251.0,125.0,73.0,84.0,33.0
205,50260.0,26.0,128.0,38.0,24.0,73.0,21.0,42.0,275.0,66.0,214.0,75.0,146.0,99.0,54.0,130.0,13.0
206,56641.0,48.0,106.0,62.0,40.0,89.0,55.0,101.0,104.0,140.0,284.0,147.0,354.0,90.0,196.0,37.0,91.0
207.01,98636.0,0.0,0.0,33.0,0.0,32.0,43.0,13.0,12.0,73.0,77.0,161.0,240.0,193.0,229.0,137.0,77.0
207.02,77750.0,30.0,23.0,39.0,42.0,45.0,57.0,29.0,39.0,33.0,71.0,93.0,230.0,111.0,62.0,49.0,57.0
208,67570.0,74.0,29.0,24.0,31.0,87.0,95.0,65.0,74.0,157.0,170.0,311.0,343.0,129.0,86.0,180.0,23.0
