NAME,CensusReporter_Link
201.01,https://censusreporter.org/profiles/14000US18099020101-census-tract-20101-marshall-in/
201.02,https://censusreporter.org/profiles/14000US18099020102-census-tract-20102-marshall-in/
202.01,https://censusreporter.org/profiles/14000US18099020201-census-tract-20201-marshall-in/
202.02,https://censusreporter.org/profiles/14000US18099020202-census-tract-20202-marshall-in/
203.01,https://censusreporter.org/profiles/14000US18099020301-census-tract-20301-marshall-in/
203.02,https://censusreporter.org/profiles/14000US18099020302-census-tract-20302-marshall-in/
204,https://censusreporter.org/profiles/14000US18099020400-census-tract-204-marshall-in/
205,https://censusreporter.org/profiles/14000US18099020500-census-tract-205-marshall-in/
206,https://censusreporter.org/profiles/14000US18099020600-census-tract-206-marshall-in/
207.01,https://censusreporter.org/profiles/14000US18099020701-census-tract-20701-marshall-in/
207.02,https://censusreporter.org/profiles/14000US18099020702-census-tract-20702-marshall-in/
208,https://censusreporter.org/profiles/14000US18099020800-census-tract-208-marshall-in/
