NAME,Median Income: ,"Less than $10,000: ","$10,000 to $14,999: ","$15,000 to $19,999: ","$20,000 to $24,999: ","$25,000 to $29,999: ","$30,000 to $34,999: ","$35,000 to $39,999: ","$40,000 to $44,999: ","$45,000 to $49,999: ","$50,000 to $59,999: ","$60,000 to $74,999: ","$75,000 to $99,999: ","$100,000 to $124,999: ","$125,000 to $149,999: ","$150,000 to $199,999: ","$200,000 or more: "
1,33938.0,177.0,95.0,74.0,59.0,22.0,79.0,52.0,27.0,43.0,104.0,113.0,62.0,60.0,23.0,0.0,5.0
2,50724.0,138.0,104.0,0.0,35.0,29.0,20.0,15.0,29.0,178.0,96.0,94.0,176.0,58.0,84.0,11.0,51.0
3.01,67900.0,54.0,30.0,36.0,48.0,47.0,54.0,10.0,73.0,6.0,80.0,159.0,196.0,67.0,132.0,23.0,15.0
3.02,36943.0,124.0,112.0,10.0,14.0,215.0,45.0,173.0,64.0,20.0,74.0,68.0,118.0,67.0,50.0,14.0,1.0
4,25313.0,96.0,165.0,97.0,94.0,56.0,11.0,21.0,57.0,9.0,36.0,124.0,72.0,25.0,14.0,0.0,41.0
5,48611.0,31.0,74.0,50.0,41.0,53.0,15.0,17.0,45.0,23.0,31.0,143.0,90.0,66.0,0.0,9.0,0.0
6,40750.0,128.0,14.0,49.0,39.0,34.0,55.0,42.0,69.0,6.0,13.0,104.0,99.0,40.0,42.0,12.0,0.0
7,59306.0,29.0,31.0,30.0,26.0,77.0,57.0,7.0,30.0,38.0,122.0,96.0,90.0,10.0,74.0,85.0,87.0
8,99191.0,43.0,24.0,11.0,16.0,5.0,17.0,5.0,15.0,11.0,19.0,72.0,114.0,81.0,49.0,72.0,139.0
9,53646.0,47.0,14.0,29.0,140.0,7.0,18.0,17.0,14.0,49.0,45.0,60.0,88.0,40.0,48.0,21.0,74.0
10,55775.0,216.0,74.0,76.0,63.0,12.0,77.0,79.0,44.0,64.0,312.0,129.0,92.0,140.0,87.0,40.0,135.0
11,52683.0,137.0,102.0,96.0,34.0,61.0,65.0,106.0,162.0,41.0,95.0,215.0,241.0,116.0,42.0,53.0,76.0
12,105804.0,10.0,0.0,0.0,25.0,30.0,12.0,5.0,33.0,35.0,41.0,72.0,159.0,110.0,130.0,123.0,78.0
13,62558.0,29.0,25.0,50.0,31.0,56.0,38.0,39.0,66.0,38.0,151.0,309.0,61.0,93.0,13.0,23.0,28.0
14,56568.0,39.0,68.0,74.0,11.0,10.0,140.0,49.0,25.0,66.0,415.0,227.0,343.0,75.0,35.0,83.0,46.0
15,48375.0,100.0,58.0,94.0,7.0,87.0,26.0,140.0,107.0,182.0,32.0,163.0,158.0,110.0,52.0,42.0,36.0
16,120097.0,22.0,7.0,30.0,26.0,11.0,22.0,11.0,32.0,8.0,37.0,110.0,128.0,214.0,96.0,133.0,132.0
17,24476.0,150.0,109.0,74.0,66.0,32.0,41.0,18.0,24.0,35.0,74.0,12.0,46.0,64.0,6.0,34.0,0.0
