NAME,Income in the past 12 months below poverty level: ,Male (total): ,Male: Under 5 years,Male: 5 years,Male: 6 to 11 years,Male: 12 to 14 years,Male: 15 years,Male: 16 to 17 years,Male: 18 to 24 years,Male: 25 to 34 years,Male: 35 to 44 years,Male: 45 to 54 years,Male: 55 to 64 years,Male: 65 to 74 years,Male: 75 years and over,Female (total):,Female: Under 5 years,Female: 5 years,Female: 6 to 11 years,Female: 12 to 14 years,Female: 15 years,Female: 16 to 17 years,Female: 18 to 24 years,Female: 25 to 34 years,Female: 35 to 44 years,Female: 45 to 54 years,Female: 55 to 64 years,Female: 65 to 74 years,Female: 75 years and over
1,43.94%,25.47%,1.74%,0.00%,9.66%,1.29%,0.45%,3.74%,5.12%,0.40%,0.49%,0.00%,1.65%,0.58%,0.36%,18.48%,0.00%,0.00%,1.65%,0.49%,0.00%,0.00%,1.87%,3.12%,4.90%,1.65%,2.45%,1.20%,1.16%
2,29.81%,8.44%,2.05%,0.00%,1.32%,0.00%,0.00%,0.00%,1.02%,2.22%,0.32%,1.50%,0.00%,0.00%,0.00%,21.37%,5.89%,1.35%,2.75%,0.92%,0.00%,0.00%,5.52%,2.60%,0.00%,1.40%,0.95%,0.00%,0.00%
3.01,8.65%,5.17%,0.27%,0.00%,0.23%,0.00%,0.00%,0.00%,0.50%,0.08%,0.50%,0.73%,2.18%,0.69%,0.00%,3.48%,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,1.68%,1.00%,0.00%,0.00%,0.00%,0.00%
3.02,24.88%,9.88%,2.79%,0.00%,3.74%,0.64%,0.00%,1.27%,0.35%,0.00%,0.60%,0.00%,0.00%,0.49%,0.00%,15.00%,5.15%,0.00%,0.99%,0.00%,0.00%,0.00%,1.76%,1.83%,2.05%,0.00%,2.08%,0.00%,1.13%
4,39.94%,11.85%,1.01%,0.32%,3.21%,1.75%,0.77%,0.00%,0.24%,2.35%,1.66%,0.41%,0.12%,0.00%,0.00%,28.08%,3.08%,0.32%,1.18%,5.40%,1.50%,1.30%,0.89%,4.22%,1.34%,2.96%,2.19%,2.64%,1.06%
5,34.14%,16.12%,5.43%,0.00%,0.92%,2.54%,0.00%,0.00%,0.87%,1.56%,1.04%,1.16%,0.64%,0.00%,1.96%,18.02%,0.46%,0.00%,2.83%,1.96%,0.00%,1.91%,0.00%,3.64%,2.43%,0.40%,3.52%,0.00%,0.87%
6,33.06%,9.80%,1.27%,0.86%,0.41%,0.61%,0.00%,0.71%,0.96%,1.73%,2.08%,0.15%,0.66%,0.36%,0.00%,23.26%,2.84%,0.00%,3.61%,1.73%,0.91%,0.00%,2.13%,3.30%,4.11%,4.32%,0.30%,0.00%,0.00%
7,11.09%,6.32%,0.00%,0.00%,1.30%,0.00%,0.00%,0.00%,2.23%,0.67%,0.00%,0.83%,0.73%,0.57%,0.00%,4.77%,0.62%,0.00%,0.73%,0.00%,0.00%,0.00%,0.78%,1.04%,0.00%,0.00%,0.36%,1.24%,0.00%
8,9.20%,5.72%,0.39%,0.39%,0.00%,0.00%,0.19%,0.19%,0.00%,0.84%,1.29%,0.26%,1.29%,0.90%,0.00%,3.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.77%,0.26%,1.74%,0.71%,0.00%
9,23.70%,13.42%,0.94%,0.00%,0.00%,2.67%,0.00%,0.00%,2.83%,0.47%,1.73%,0.47%,2.67%,1.65%,0.00%,10.28%,0.00%,0.00%,0.78%,0.00%,0.00%,1.81%,0.94%,2.20%,2.20%,0.00%,0.47%,1.81%,0.08%
10,26.83%,14.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.70%,0.26%,0.00%,0.00%,0.28%,0.00%,0.03%,12.57%,0.36%,0.00%,0.00%,0.00%,0.67%,0.00%,6.85%,1.33%,1.21%,0.03%,0.26%,0.00%,1.87%
11,25.42%,13.45%,3.44%,0.00%,0.86%,0.00%,2.25%,1.10%,2.01%,0.88%,0.98%,1.22%,0.22%,0.26%,0.24%,11.97%,3.15%,0.00%,0.00%,2.27%,0.00%,0.00%,0.17%,2.03%,1.94%,1.65%,0.55%,0.22%,0.00%
12,3.78%,2.01%,0.00%,0.00%,0.61%,0.00%,0.00%,0.00%,0.00%,0.42%,0.75%,0.19%,0.05%,0.00%,0.00%,1.77%,0.00%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.61%,0.00%,0.00%,0.23%,0.23%
13,7.00%,2.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.44%,0.49%,0.00%,0.39%,1.17%,0.00%,0.00%,4.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.58%,0.00%,0.68%,1.55%,0.73%,0.97%,0.00%
14,18.11%,7.13%,0.31%,0.00%,1.17%,0.37%,0.00%,0.00%,0.00%,0.00%,1.97%,0.00%,2.48%,0.83%,0.00%,10.98%,0.29%,0.00%,0.00%,1.06%,0.00%,1.68%,0.00%,1.74%,1.08%,2.22%,1.23%,0.91%,0.77%
15,25.65%,7.66%,1.05%,0.00%,1.64%,0.00%,0.43%,0.83%,1.30%,0.00%,1.45%,0.00%,0.68%,0.00%,0.28%,17.99%,1.42%,0.00%,0.46%,0.00%,0.00%,0.96%,6.74%,0.56%,5.32%,0.80%,0.99%,0.74%,0.00%
16,2.88%,1.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.20%,0.00%,0.00%,1.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.12%,0.04%,0.00%,0.00%,0.28%,0.00%,0.24%
17,32.00%,10.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.73%,0.00%,1.06%,2.45%,3.92%,2.20%,0.00%,21.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.20%,2.04%,2.94%,1.47%,7.18%,3.92%,1.88%
19,26.67%,15.94%,1.08%,0.00%,0.00%,1.97%,0.00%,2.46%,0.00%,0.30%,0.69%,5.12%,3.25%,1.08%,0.00%,10.73%,1.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,2.36%,2.36%,1.38%,2.85%,0.00%,0.00%
20,52.72%,22.64%,1.92%,0.00%,1.12%,6.56%,0.00%,0.00%,0.40%,1.52%,0.00%,2.48%,5.36%,3.28%,0.00%,30.08%,0.64%,1.52%,3.92%,2.32%,3.76%,1.76%,1.68%,7.20%,2.48%,1.52%,3.28%,0.00%,0.00%
21,30.35%,15.68%,0.00%,0.00%,0.00%,0.00%,5.84%,0.00%,3.87%,1.84%,1.33%,1.08%,0.44%,1.27%,0.00%,14.67%,0.00%,0.00%,5.78%,0.00%,0.00%,0.00%,0.00%,1.08%,0.00%,2.35%,4.57%,0.89%,0.00%
22,35.10%,22.99%,3.54%,1.44%,1.44%,6.71%,0.29%,0.00%,0.23%,4.22%,1.38%,1.54%,0.88%,1.31%,0.00%,12.12%,1.54%,0.88%,0.00%,0.46%,0.00%,0.49%,0.52%,1.87%,1.15%,0.26%,3.90%,1.05%,0.00%
23,48.30%,15.90%,4.55%,1.70%,4.01%,0.00%,0.23%,0.00%,0.00%,0.46%,1.39%,0.00%,0.77%,0.00%,2.78%,32.41%,7.33%,1.70%,2.31%,0.39%,1.39%,0.00%,0.31%,6.56%,0.00%,1.62%,1.62%,9.18%,0.00%
24,22.05%,8.03%,1.29%,0.00%,0.21%,0.66%,0.00%,0.24%,0.00%,0.24%,2.75%,0.35%,0.87%,1.43%,0.00%,14.02%,0.24%,0.38%,1.18%,1.70%,0.80%,1.98%,0.35%,2.19%,2.47%,0.63%,0.87%,0.00%,1.22%
25,14.75%,6.14%,2.36%,0.00%,0.56%,0.00%,0.00%,0.00%,0.00%,0.00%,1.13%,0.90%,0.90%,0.28%,0.00%,8.61%,1.35%,0.00%,0.00%,0.00%,0.00%,0.00%,1.52%,0.00%,2.98%,1.41%,0.90%,0.45%,0.00%
26,15.67%,7.22%,0.00%,0.00%,1.12%,0.77%,0.00%,0.35%,0.35%,3.48%,0.00%,0.00%,0.56%,0.00%,0.61%,8.45%,0.00%,0.00%,0.48%,0.42%,0.00%,0.77%,0.58%,2.39%,1.57%,0.69%,0.98%,0.35%,0.21%
27,35.89%,18.13%,3.31%,0.00%,0.98%,1.88%,0.38%,0.00%,0.00%,0.75%,4.06%,3.76%,2.11%,0.90%,0.00%,17.76%,3.24%,1.13%,0.08%,0.68%,0.00%,0.00%,0.38%,5.12%,3.61%,1.66%,1.13%,0.75%,0.00%
28,35.38%,15.67%,1.96%,0.00%,9.45%,0.47%,0.00%,0.00%,0.00%,0.98%,0.21%,1.28%,0.77%,0.55%,0.00%,19.71%,0.77%,0.34%,1.87%,0.77%,0.30%,0.00%,1.11%,1.92%,8.56%,1.06%,0.89%,2.13%,0.00%
29,60.31%,25.15%,0.00%,5.99%,6.09%,0.00%,4.32%,6.88%,1.28%,0.49%,0.00%,0.00%,0.10%,0.00%,0.00%,35.17%,8.84%,0.00%,4.52%,0.00%,0.00%,0.00%,4.72%,2.65%,11.89%,0.98%,0.10%,1.47%,0.00%
30,59.57%,20.37%,3.53%,1.80%,2.66%,0.00%,2.79%,0.00%,0.06%,2.23%,2.29%,1.80%,2.17%,1.05%,0.00%,39.20%,0.43%,0.00%,15.60%,8.24%,0.00%,3.28%,1.98%,6.63%,1.05%,0.00%,1.36%,0.00%,0.62%
