Pantry Name,Address,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Recurring Hours,Age requirement,What to Bring,Wheelchair accessible?,How to Get Food,How Often You Can Visit?,Who Can Get Food,Languages,Link
Helping Hands @ Bourbon First UMC,"204 N Washington St, Bourbon, IN 46504",,,1:00 pm - 3:00 pm,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: 1:00 pm - 3:00 pm | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,,English,"https://www.google.com/maps/search/?api=1&query=204 N Washington St, Bourbon, IN 46504"
Culver Community Pantry,"307 N Plymouth St, Culver, IN 46511",,10:00 am - 12:00 pm,,,,,,Monday: Hours currently Unavailable | Tuesday: 10:00 am - 12:00 pm | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,Students and families in school district: Culver Community School District,English,"https://www.google.com/maps/search/?api=1&query=307 N Plymouth St, Culver, IN 46511"
Lifepoint Church Inc.,"1006 S 16th St, Goshen, IN 46526",8:30 am - 12:00 pm,8:30 am - 12:00 pm,8:30 am - 12:00 pm,8:30 am - 12:00 pm,,,,Monday: 8:30 am - 12:00 pm | Tuesday: 8:30 am - 12:00 pm | Wednesday: 8:30 am - 12:00 pm | Thursday: 8:30 am - 12:00 pm | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=1006 S 16th St, Goshen, IN 46526"
East Goshen Mennonite Food Pantry/Bread Of Life,"2019 E Lincoln Ave, Goshen, IN 46528",,9:00 am - 12:00 pm,,,,,,Monday: Hours currently Unavailable | Tuesday: 9:00 am - 12:00 pm | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,"One photo ID or document showing proof of address (mail, lease, rent receipt) required",Yes,Drive up | Walk in,,City residents only: Goshen Residents Only,English,"https://www.google.com/maps/search/?api=1&query=2019 E Lincoln Ave, Goshen, IN 46528"
The Window Food Pantry,"223 S Main St, Goshen, IN 46526",1:00 pm - 3:30 pm,9:00 am - 10:30 am,,"9:00 am - 10:30 am, 3:00 pm - 5:00 pm",1:00 pm - 1:30 pm,,,"Monday: 1:00 pm - 3:30 pm | Tuesday: 9:00 am - 10:30 am | Wednesday: Hours currently Unavailable | Thursday: 9:00 am - 10:30 am, 3:00 pm - 5:00 pm | Friday: 1:00 pm - 1:30 pm | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable",All ages welcome,,Yes,,Once per month,County residents only: Elkhart County,English,"https://www.google.com/maps/search/?api=1&query=223 S Main St, Goshen, IN 46526"
The Window - Katie's Kitchen,"223 S Main St, Goshen, IN 46526",1:00 pm - 4:00 pm,"1:00 pm - 4:00 pm, 9:00 am - 10:30 am",1:00 pm - 4:00 pm,"1:00 pm - 6:00 pm, 9:00 am - 10:30 am",1:00 pm - 4:00 pm,,,"Monday: 1:00 pm - 4:00 pm | Tuesday: 1:00 pm - 4:00 pm, 9:00 am - 10:30 am | Wednesday: 1:00 pm - 4:00 pm | Thursday: 1:00 pm - 6:00 pm, 9:00 am - 10:30 am | Friday: 1:00 pm - 4:00 pm | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable",All ages welcome,,,,,County residents only: Elkhart County,English,"https://www.google.com/maps/search/?api=1&query=223 S Main St, Goshen, IN 46526"
Goshen Salvation Army,"1013 N Main St, Goshen, IN 46528","9:00 am - 12:00 pm, 1:00 pm - 4:00 pm","9:00 am - 12:00 pm, 1:00 pm - 4:00 pm","9:00 am - 12:00 pm, 1:00 pm - 4:00 pm","9:00 am - 12:00 pm, 1:00 pm - 4:00 pm","9:00 am - 12:00 pm, 1:00 pm - 4:00 pm",,,"Monday: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm | Tuesday: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm | Wednesday: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm | Thursday: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm | Friday: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable",All ages welcome,State-issued photo ID required,,Walk in,,"City residents only: Goshen, New Paris, Millersburg, Nappanee, and Wakarusa | Within boundaries",English,"https://www.google.com/maps/search/?api=1&query=1013 N Main St, Goshen, IN 46528"
Country Church,"2951 9B Rd, Bourbon, IN 46504",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=2951 9B Rd, Bourbon, IN 46504"
Grace Food Pantry Of Bremen,"1237 W Plymouth St, Bremen, IN 46506",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,County residents only: Marshall County,English,"https://www.google.com/maps/search/?api=1&query=1237 W Plymouth St, Bremen, IN 46506"
Nappanee Open Door Pantry,"292 S Main St, Nappanee, IN 46550",9:00 am - 11:00 am,9:00 am - 11:00 am,"9:00 am - 11:00 am, 4:00 pm - 6:00 pm",9:00 am - 11:00 am,9:00 am - 11:00 am,,,"Monday: 9:00 am - 11:00 am | Tuesday: 9:00 am - 11:00 am | Wednesday: 9:00 am - 11:00 am, 4:00 pm - 6:00 pm | Thursday: 9:00 am - 11:00 am | Friday: 9:00 am - 11:00 am | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable",All ages welcome,,,,,Students and families in school district: WaNee School District,English,"https://www.google.com/maps/search/?api=1&query=292 S Main St, Nappanee, IN 46550"
