NAME,Male,Female
1,4.699563612,8.996307486
2.01,11.861719,15.1284491
2.02,11.70332769,8.770445572
3.01,0.337837838,0.868725869
3.02,8.457142857,12.34285714
4,2.771264123,0.532935408
5.01,7.279693487,7.608100712
5.02,10.0979804,5.438912218
6.01,1.134215501,2.419659735
6.02,1.641949153,1.995056497
7.01,1.074113856,1.584317938
7.02,8.999052731,7.451847174
8.01,3.170174994,3.347704793
8.03,1.429252025,2.262982373
8.04,2.034303949,2.792181891
9.01,2.106831241,2.170674612
9.02,2.55178625,5.433803663
10,2.841485691,4.160746905
11,2.582439412,3.039332539
12,4.634678299,2.108324246
13.01,4.385423101,1.94564546
13.02,1.802551303,3.161397671
14.01,0.957230143,6.272912424
14.02,6.094245582,10.48935206
15.01,8.289687556,13.99674914
15.02,5.235967607,3.644233454
16.01,6.697207679,11.01657941
16.02,3.220858896,8.61086766
17.01,9.601873536,9.221311475
17.02,7.807071326,10.09605559
18.01,1.721824687,3.756708408
18.02,1.347368421,1.614035088
19.01,19.00166389,4.342762063
19.02,1.623083859,2.547339946
20.01,0,1.753008896
20.02,4.799040192,4.469106179
21.01,4.086289152,6.492428957
21.02,6.874877234,14.24081713
22.01,9.642857143,27.43303571
22.02,6.742738589,7.634854772
23,9.596456693,17.51968504
24,4.016154364,5.115548575
26,13.93690579,11.64649957
27,11.04441777,19.32773109
29,10.50102951,6.543125143
