NAME,Male,Female
1,22.87977633,19.66449208
2,6.981519507,22.20225873
3.01,10.30680729,3.643336529
3.02,10.52048726,16.79586563
4,12.48374512,30.21239705
5,10.94890511,13.08654849
6,9.494640123,25.31904033
7,5.444273241,4.879301489
8,7.207207207,3.243243243
9,12.13675214,7.606837607
10,8.969935929,13.47954657
11,12.40138067,12.91913215
12,2.343017807,2.530459231
13,4.797601199,2.3988006
14,7.148771736,11.15097985
15,10.72705602,16.38855781
16,1.062525541,2.206783817
17,18.04564907,22.467903
19,15.10957324,9.573241061
20,21.88872621,29.94143485
21,16.02002503,14.08010013
22,22.81345566,9.785932722
23,17.66109785,36.51551313
24,9.131479574,21.38688637
25,7.696390658,7.324840764
26,7.269056032,9.414437153
27,17.9342723,19.71830986
28,16.63140076,17.68937791
29,19.67380224,38.32823649
30,18.96232242,40.14823965
31,13.52604309,15.08044723
32,2.737366003,2.507656968
33,14.53402367,14.86686391
34,6.180371353,13.18302387
35,8.072207084,9.502724796
101,14.80499811,17.87201817
102.01,3.759805247,14.68758453
102.02,14.33333333,18.88888889
103,24.56269564,7.586079912
104,4.894885472,4.957640414
105,2.282360613,4.629931529
106,6.381715643,4.333630157
107,5.402676092,6.99318354
108,1.434377241,3.514224241
109.01,4.625755463,6.857275686
109.02,1.033973412,5.494830133
110.01,0.799086758,4.9847793
110.02,1.252471984,1.955614151
111,6.993890878,8.152517379
112.03,21.94828623,10.0420926
113.03,5.686368733,8.169149447
113.04,1.832907076,3.537936914
113.05,0.575953924,1.271898248
113.06,0.831117021,0.432180851
113.07,0,3.821656051
113.08,1.258309592,2.231718898
113.09,5.191786129,4.843084076
113.1,10.77405858,4.358437936
114.03,1.301179736,0.208188758
114.04,2.816470228,2.923618552
114.05,2.02647933,2.404755471
114.06,2.506310855,4.020915975
115.01,9.03742057,8.096022594
115.03,5.151864667,6.843521722
115.04,5.722222222,6.388888889
115.05,3.43417825,7.576996457
115.06,3.484395041,7.994869602
116.02,4.86643745,4.509389051
116.03,1.521216974,0.800640512
116.04,0.084626234,0.451339915
117.01,4.900759618,2.964959569
117.03,1.139838755,5.921601334
117.04,2.397674982,3.632840882
118.01,0.875912409,0.291970803
118.03,0.456760049,3.62362972
118.04,4.909240924,5.156765677
119,3.216080402,2.537688442
120,2.120838471,2.934648582
121,2.517772512,4.383886256
122,1.664254703,3.545586107
123,2.809633028,6.680045872
124,1.58061117,1.05374078
